id,title,organization,url,contact,internality,needs,inventionTypes,locations,domains,states,problemsSolved,whatYouGet,whyYouMightCare,usefulWhen,notFor,eligibility,caveats,investigatorReturns,funding,status,nextDeadline,companyRequired,requiresDisclosure,contextGate,modalityLock
veritascience,VeritaScience — WashU + Deerfield,Washington University in St. Louis · Deerfield Management,https://source.wustl.edu/2024/01/washington-university-deerfield-management-launch-veritascience-to-drive-drug-discovery/,OTM / WUSM business development; verify current contact,washu,funding|expertise-mentorship,therapeutics,washu,therapeutic|diagnostic,s5|s6|s7,therapeutic-development|funding|ind,"Deerfield committed up to $130 million over ten years. Accepted drug-discovery projects receive development plans aimed toward IND readiness and may receive further funding or support, including possible company formation.",Industry drug-development expertise and capital without requiring a pre-existing startup.,A therapeutic or diagnostic discovery needs a milestone-driven development plan|You need specialized industry capabilities and substantial development capital,Non-drug devices or research tools|A general faculty grant program,WashU investigator proposals; disease indication may vary. Current standing submission dates are unspecified publicly in the source reviewed.,"Routing is through WashU/Deerfield scientific review, guided by OTM and WUSM business development.|Older information-session contact should be verified before use.",industry development expertise|IND-oriented planning|possible later company support,Up to $130M over ten years across the collaboration (project-specific),evergreen_program_verify_current_call,,false,false,,therapeutic
bms-neuro,Bristol Myers Squibb–WashU neuroscience collaboration,Washington University School of Medicine · BMS,https://medicine.wustl.edu/news/washu-announces-new-academic-industry-collaboration-with-bristol-myers-squibb/,Mark Van Horn · markv@wustl.edu,washu,funding|industry-connections,therapeutics,washu,therapeutic,s4|s6|s7,collaboration|trainees|therapeutic-development,"Multiyear collaboration funding up to three translational neuroscience research programs per year and up to three visiting fellows per year, working alongside BMS scientists.","Collaboration, translational expertise, and trainee industry exposure without startup formation. Industry collaboration is itself an academic return.",A neuroscience therapeutic program would benefit from pharmaceutical-development engagement|A trainee would benefit from a visiting-fellow placement,Non-neuroscience projects outside the stated priority areas|A general startup accelerator,"Priority areas include neurological, neuromuscular, neuroinflammatory, and psychiatric conditions. The first announced EOI deadline was September 1, 2026 and has passed; monitor future rounds.",The first EOI window has passed as of 2026-09-04. Treat this as a future cycle until a new call opens.,industry collaborators|trainee placements|drug-development exposure without founding,Up to three translational programs and three visiting fellows per year,closed_verify,,false,false,,therapeutic
neuro360,NEURO360 / regional neuroscience innovation network,Washington University in St. Louis · regional partners,https://innovation.wustl.edu/our-ecosystem/,,regional,industry-connections,therapeutics|devices-diagnostics|research-tools,regional,device|therapeutic|research-tool,s4|s8,network|ecosystem,A WashU-led regional neuroscience innovation effort originally supported through an NSF Engines Development Award and involving regional organizations including BioSTL.,A network layer connecting academic neuroscience to regional company-building and workforce resources — not a guaranteed individual grant.,The opportunity needs regional neuroscience-industry connections or cluster-scale visibility,A standing individual-investigator application you can submit this week,A standing individual-investigator application route is not publicly specified. Model this as an ecosystem/network node rather than guaranteed funding.,Program status should be periodically re-verified. Do not treat this as a walk-in funding call.,regional visibility|industry network,,evergreen_program_verify_current_call,,false,false,,
biogenerator-connect,BioGenerator Startup Connect,BioGenerator Ventures,https://www.biostl.org/what-we-do/biogenerator,aj@biogeneratorventures.com,regional,industry-connections,therapeutics|devices-diagnostics|research-tools,st-louis,therapeutic|device|diagnostic|research-tool,s8|s9,investors|networking,"Invite-only presentations, investor meetings, and networking among human-health and agriculture startups, investors, academics, government, and corporate partners.",Investor exposure without relying only on cold outreach — once a company is real enough to present.,A startup is mature enough to benefit from curated investor meetings,An early idea-development program|An academic project with no company,Invite-only. Not an early idea-development program.,"Current noted event: September 9–10, 2026. Confirm before planning around it.",investor meetings|ecosystem visibility,,evergreen_program_verify_current_call,2026-09-09 (Startup Connect; verify),true,false,,
cortex-ignite,Cortex SQ1 Ignite / Bootcamp,Cortex Innovation Community,https://www.cortexstl.org/learn/entrepreneur-training/sq1-ignite,info@cortexstl.org,regional,startup-support|expertise-mentorship,broad,st-louis,device|software|research-tool|therapeutic|diagnostic,s4|s6|s8,venture-exploration|customer-discovery|education,"Ignite is a four-week concept-stage program using business-model validation, mentors, and ecosystem connections. Bootcamp is a more intensive ten-week / 50-hour program.",A low-cost way to test entrepreneurial assumptions. You do not need an investor-ready company to enter Ignite.,You want structured entrepreneurship or customer-discovery education|You are testing whether a venture is even sensible,A substitute for OTM on a WashU invention|Late-stage company financing,Ignite prerequisites are light. Current listed fee is $50 with need-based scholarships. Cohort dates vary.,"Education, not capital. Confirm current cohort dates.",customer-discovery practice|a low-stakes read on founding,,evergreen_program_verify_current_call,,false,false,,
arch-grants,Arch Grants Startup Competition,Arch Grants,https://archgrants.org/programs/startup-competition/,competition@archgrants.org,regional,funding|startup-support,broad,st-louis,therapeutic|device|diagnostic|software|research-tool,s8|s9,funding|startup,"$75,000 equity-free; an additional $25,000 for qualifying relocations; eligibility for follow-on Growth Grants up to $100,000; fundraising and network support.",Non-dilutive startup capital — if the company can actually meet the founder and St. Louis commitments.,A genuine startup can commit to building in St. Louis|Founders want equity-free company capital,An academic laboratory project|A faculty side project without a full-time founder,Company headquarters in St. Louis for at least one year; residency and team requirements; at least one founder must currently work on the company as their primary/full-time role. 2026 applications are closed.,2026 applications are closed. Headquarters and full-time founder requirements are hard gates.,equity-free company capital — if eligible,"$75,000 equity-free (+ $25,000 relocation; Growth Grants up to $100,000)",closed_verify,,true,false,,
mtc-idea,Missouri Technology Corporation IDEA Fund,Missouri Technology Corporation,https://www.missouritechnology.com/venture-capital-investments/mtc-idea-fund/,,regional,funding,broad,regional,therapeutic|device|diagnostic|software|research-tool,s8|s9,funding|startup,"Current tracks include TechLaunch (up to $250,000 for companies raising under $1M), Seed Capital (up to $1M for $1–5M raises), and a larger venture track. MTC investments require private matching capital.","Can leverage an external financing round with state-backed investment. This is equity, not an academic grant.","A Missouri technology startup is raising an institutional pre-seed, seed, or Series A round|The company can attract matching private capital",An academic grant or proof-of-concept pilot (that earlier pilot is currently paused)|A laboratory without a company,"Missouri location and growth requirements, plus matching co-investment. The earlier proof-of-concept pilot is currently paused.","This is matching equity investment, not a faculty grant.",state-backed match on a real financing round,Equity investment with private match (track-specific; verify),evergreen_program_verify_current_call,,true,false,,
missouri-sbdc,Missouri SBDC FAST / SBIR-STTR assistance,Missouri Small Business Development Center,https://sbdc.missouri.edu/programs/technology/funding,,regional,expertise-mentorship,broad,regional,therapeutic|device|diagnostic|software|research-tool,s6|s7|s8,funding|small-business,"Resources, expertise, and assistance navigating SBIR/STTR proposal strategy and submission.",Useful when you understand the science but not the federal small-business process. No venture-capital raise is required to seek advising.,A founder is considering federal SBIR/STTR|The team needs proposal strategy or submission support,An academic laboratory that will not form or partner with a small business,Targeted to small businesses and prospective SBIR/STTR applicants. Current grants and services vary by FAST cycle.,Advising is not an award. The applicant still must be an eligible small business.,proposal strategy|local SBIR/STTR navigation,,evergreen_program_verify_current_call,,false,false,,
cultivation-capital,Cultivation Capital — Life Sciences & Health Tech,Cultivation Capital,https://cultivationcapital.com/strategies/life-sciences-health-technology/,,investor,funding,therapeutics|devices-diagnostics|research-tools,st-louis,therapeutic|device|diagnostic|research-tool,s8|s9,funding|startup,"St. Louis-based venture capital. Current site describes initial checks roughly $100,000–$3.5 million and investing from seed through Series B.","Regional capital plus investor perspective — once there is an investable company, not a grant application.","A startup has a credible financing proposition in therapeutics, diagnostics, tools, devices, or health technology",A faculty grant|An idea without a company,Requires an investable company. No standardized investigator eligibility. Not a grant.,Downstream financing. Not a general investigator service.,regional venture capital — if the company is investable,"Venture investment, roughly $100k–$3.5M initial checks (verify)",evergreen,,true,false,,
rivervest,RiverVest Venture Partners,RiverVest,https://rivervest.com/,info@rivervest.com · 314-726-6700,investor,funding|startup-support,therapeutics|devices-diagnostics,st-louis,therapeutic|device,s8|s9,funding|startup,St. Louis-headquartered life-science VC that funds and founds biopharma and device companies and can lead financing syndicates.,Relevant when the question has moved from “is there a product?” to “is this a venture-scale company?”,A biopharma or medical-device company needs sophisticated company formation or venture financing,Academic projects|Pre-company de-risking,Company and investment diligence required; terms are opportunity-specific.,Downstream financing. Not a faculty program.,venture-scale company formation and capital,Venture financing (deal-specific),evergreen,,true,false,,
oup,Osage University Partners (OUP),Osage University Partners,https://oup.vc/,,investor,funding,therapeutics|devices-diagnostics|research-tools,national,therapeutic|device|diagnostic|research-tool,s8|s9,funding|startup,"VC focused on science-driven startups from research ecosystems. Current sectors include therapeutics, medtech, diagnostics, and research tools. Current site states $1M–$20M investment size across stages.",An investor familiar with university technology-transfer and spinout issues.,University-originated science has venture-scale potential|The company needs investors who understand academic IP,A grant or general faculty assistance program,Investment opportunity required. No grant program.,Downstream financing. Not an investigator service.,university-spinout-fluent capital,"Venture investment, $1M–$20M across stages (verify)",evergreen,,true,false,,
nih-icorps,I-Corps at NIH,NIH SEED,https://seed.nih.gov/I-Corps-at-NIH,,federal,expertise-mentorship|startup-support,broad,national,therapeutic|device|diagnostic|software|research-tool,s8,customer-discovery|education,Structured commercialization and customer-discovery program. NIH SEED describes a three-person team model and program support.,Excellent after technical feasibility when product and customer assumptions are still uncertain — and only after a qualifying Phase I award.,An NIH-funded Phase I small business needs intensive customer discovery,An unfunded academic idea|An entry customer-discovery program for faculty without a Phase I award,Generally requires an eligible recent or active NIH/CDC/FDA/ACL Phase I SBIR/STTR award and no Phase II award yet.,Not an entry program for an unfunded academic idea. Downstream of a qualifying Phase I award.,customer discovery after Phase I,,evergreen,,true,false,,
ncats-sbir,NCATS Small Business Programs,National Center for Advancing Translational Sciences,https://ncats.nih.gov/funding/small-business-programs/resources-applicants,NCATS-SBIRSTTR@mail.nih.gov,federal,funding,broad,national,therapeutic|device|diagnostic|research-tool|software,s6|s7|s8,funding|small-business,SBIR/STTR funding and program guidance aligned with translational science. NCATS encourages prospective applicants to discuss program fit.,Useful for platforms or tools that may not fit a single disease-oriented institute cleanly.,The technology addresses a translational-science bottleneck or broadly enabling biomedical need|A company is being considered,An academic lab acting alone,NIH small-business eligibility applies to SBIR/STTR.,Discuss fit with NCATS before treating this as a default institute.,non-dilutive funding for enabling platforms,NIH SBIR/STTR (verify current NOFO),evergreen_program_verify_current_call,,true,false,,
ninds-devices,NINDS Translational Devices + Small Business Program,National Institute of Neurological Disorders and Stroke,https://www.ninds.nih.gov/current-research/research-funded-ninds/translational-research/translational-devices,,federal,funding,devices-diagnostics,national,device|diagnostic,s6|s7|s8,device-translation|funding,"Support for development, optimization, translation, and first-in-human testing of therapeutic and diagnostic devices. NINDS also has dedicated small-business programs.",A neuroscience-specific route that can finance evidence R01-style projects often do not emphasize.,"A device or neurotechnology addresses a nervous-system disorder|You need milestone-driven translation, regulatory preparation, or first-in-human work",A generic assumption that every NINDS device NOFO is academic — some are small-business-only,Depends on the specific NOFO. Some routes are academic; others are small-business-only. Inspect the current announcement.,Do not infer eligibility from the program family. Read the current NOFO.,device-translation milestones|possible first-in-human support,NINDS translational-device and small-business NOFOs (verify current),evergreen_program_verify_current_call,,false,false,,device
nia-sbir,NIA Small Business — Alzheimer’s / ADRD and aging,National Institute on Aging,https://www.nia.nih.gov/research/sbir/about-nia-small-business-funding,,federal,funding,therapeutics|devices-diagnostics|research-tools,national,therapeutic|device|diagnostic|research-tool,s6|s7|s8,funding|small-business,A dedicated SBIR/STTR program. NIA reports more than $140M/year in small-business support across aging and AD/ADRD areas.,Neuroscience-specific non-dilutive capital for one of WashU’s major strengths — if a small-business path is real.,"An Alzheimer’s, ADRD, or aging-related diagnostic, tool, therapeutic, or service has a plausible small-business path",An academic lab acting alone,Small-business program requirements apply. Specific NOFO deadlines and areas should be queried live.,Company eligibility applies. Confirm current NOFO areas.,disease-specific non-dilutive R&D funding,NIA SBIR/STTR (verify current),evergreen_program_verify_current_call,,true,false,,
nsf-icorps,NSF I-Corps,National Science Foundation,https://www.nsf.gov/funding/initiatives/i-corps,,federal,expertise-mentorship|startup-support,devices-diagnostics|software-digital|research-tools,national,device|software|research-tool|algorithm,s4|s6|s8,customer-discovery|education,"National I-Corps teams combine technical, entrepreneurial, and industry perspectives around customer discovery.","Useful for instrumentation, engineering, computation, and research tools where clinical-disease programs are a poor fit.",A deep-tech or scientific invention needs systematic customer discovery|NSF’s commercialization ecosystem fits better than NIH,An assumption that every WashU invention qualifies|A substitute for OTM on university IP,Current team and award eligibility depends on the NSF route. Do not assume every WashU invention qualifies.,Eligibility is route-specific. Confirm before planning around a cohort.,customer discovery for non-clinical deep tech,,evergreen_program_verify_current_call,,false,false,,
